id,x,y,x,y
1,-6.38389568779916,49.8615998588959,85,5
2,-6.39204754446815,49.9512855980594,85,15
3,-6.25303043291158,49.9564755400043,95,15
4,-5.27886754895572,49.988143648176,165,15
5,-5.13956788038666,49.992000515738,175,15
6,-5.70348011663057,50.0653317728694,135,25
7,-5.56401812993488,50.0697030959467,145,25
8,-5.42452253526488,50.0739071006832,155,25
9,-5.28499463453711,50.0779436921274,165,25
10,-5.14543573158225,50.0818127790697,175,25
11,-5.00584713206921,50.0855142740493,185,25
12,-5.71041856447686,50.1550899078341,135,35
13,-5.57069667641124,50.1594750806453,145,35
14,-5.43094095896687,50.1636924073827,155,35
15,-5.29115272256219,50.1677417925155,165,35
16,-5.15133327955125,50.1716231442772,175,35
17,-5.011483944147,50.1753363746731,185,35
18,-4.87160603234431,50.1788813994867,195,35
19,-3.89177139252203,50.1989805389106,265,35
20,-3.75171243356095,50.2011773426173,275,35
21,-3.61163680951046,50.2032053537648,285,35
22,-5.57740905248539,50.2492450214202,145,45
23,-5.43739190184923,50.2534757198149,155,45
24,-5.29734201741331,50.2575379463445,165,45
25,-5.15726072013187,50.2614316086813,175,45
26,-5.01714933283898,50.265156618292,185,45
27,-4.87700918017071,50.2687128904443,195,45
28,-4.73684158848697,50.2721003442136,205,45
29,-4.17592341473346,50.2839604905677,245,45
30,-4.03563857820443,50.2865027722294,255,45
31,-3.89533429261304,50.2888758302414,265,45
32,-3.75501189417766,50.2910796104872,275,45
33,-3.61467272020694,50.2931140626987,285,45
34,-5.16321825094539,50.3512381695851,175,55
35,-5.0228434871251,50.3549750025146,185,55
36,-4.88243976722759,50.3585425641348,195,55
37,-4.74200842635166,50.3619407730243,205,55
38,-4.60155080126019,50.3651695515985,215,55
39,-4.46106823030058,50.3682288261159,225,55
40,-4.32056205332498,50.3711185266831,235,55
41,-4.18003361161026,50.3738385872606,245,55
42,-4.03948424777781,50.3763889456676,255,55
43,-3.89891530571306,50.3787695435867,265,55
44,-3.75832813048487,50.3809803265685,275,55
