id,x,y
1,175,15
2,135,25
3,145,25
4,165,25
5,175,25
6,135,35
7,145,35
8,155,35
9,165,35
10,175,35
11,185,35
12,275,35
13,165,45
14,175,45
15,185,45
16,195,45
17,255,45
18,265,45
19,275,45
20,285,45
21,175,55
22,185,55
23,195,55
24,205,55
25,215,55
26,225,55
27,235,55
28,245,55
29,255,55
30,265,55
31,275,55
32,285,55
33,295,55
34,185,65
35,195,65
36,205,65
37,215,65
38,225,65
39,235,65
40,245,65
41,255,65
42,265,65
43,275,65
44,285,65
45,295,65
46,185,75
47,195,75
48,205,75
49,215,75
50,225,75
51,235,75
52,245,75
53,255,75
54,265,75
55,275,75
56,285,75
57,295,75
58,365,75
59,395,75
60,205,85
61,215,85
62,225,85
63,235,85
64,245,85
65,255,85
66,265,85
67,275,85
68,285,85
69,295,85
70,305,85
71,355,85
72,365,85
73,375,85
74,385,85
75,395,85
76,215,95
77,225,95
78,235,95
79,245,95
80,255,95
81,265,95
82,275,95
83,285,95
84,295,95
85,305,95
86,315,95
87,325,95
88,335,95
89,345,95
90,355,95
91,365,95
92,375,95
93,385,95
94,395,95
95,405,95
96,415,95
97,425,95
98,435,95
99,485,95
100,225,105
101,235,105
102,245,105
103,255,105
104,265,105
105,275,105
106,285,105
107,295,105
108,305,105
109,315,105
110,325,105
111,335,105
112,345,105
113,355,105
114,365,105
115,375,105
116,385,105
117,395,105
118,405,105
119,415,105
120,425,105
121,435,105
122,445,105
123,455,105
124,465,105
125,475,105
126,485,105
127,495,105
128,505,105
129,515,105
130,525,105
131,535,105
132,545,105
133,555,105
134,565,105
135,225,115
136,235,115
137,245,115
138,255,115
139,265,115
140,275,115
141,285,115
142,295,115
143,305,115
144,315,115
145,325,115
146,335,115
147,345,115
148,355,115
149,365,115
150,375,115
151,385,115
152,395,115
153,405,115
154,415,115
155,425,115
156,435,115
157,445,115
158,455,115
159,465,115
160,475,115
161,485,115
162,495,115
163,505,115
164,515,115
165,525,115
166,535,115
167,545,115
168,555,115
169,565,115
170,575,115
171,585,115
172,225,125
173,235,125
174,245,125
175,255,125
176,265,125
177,275,125
178,285,125
179,295,125
180,305,125
181,315,125
182,325,125
183,335,125
184,345,125
185,355,125
186,365,125
187,375,125
188,385,125
189,395,125
190,405,125
191,415,125
192,425,125
193,435,125
194,445,125
195,455,125
196,465,125
197,475,125
198,485,125
199,495,125
200,505,125
201,515,125
202,525,125
203,535,125
204,545,125
205,555,125
206,565,125
207,575,125
208,585,125
209,595,125
210,605,125
211,245,135
212,255,135
213,265,135
214,275,135
215,285,135
216,295,135
217,305,135
218,315,135
219,325,135
220,335,135
221,345,135
222,355,135
223,365,135
224,375,135
225,385,135
226,395,135
227,405,135
228,415,135
229,425,135
230,435,135
231,445,135
232,455,135
233,465,135
234,475,135
235,485,135
236,495,135
237,505,135
238,515,135
239,525,135
240,535,135
241,545,135
242,555,135
243,565,135
244,575,135
245,585,135
246,595,135
247,605,135
248,615,135
249,625,135
250,245,145
251,255,145
252,265,145
253,275,145
254,285,145
255,295,145
256,305,145
257,315,145
258,325,145
259,335,145
260,345,145
261,355,145
262,365,145
263,375,145
264,385,145
265,395,145
266,405,145
267,415,145
268,425,145
269,435,145
270,445,145
271,455,145
272,465,145
273,475,145
274,485,145
275,495,145
276,505,145
277,515,145
278,525,145
279,535,145
280,545,145
281,555,145
282,565,145
283,575,145
284,585,145
285,595,145
286,605,145
287,615,145
288,625,145
289,635,145
290,335,155
291,345,155
292,355,155
293,365,155
294,375,155
295,385,155
296,395,155
297,405,155
298,415,155
299,425,155
300,435,155
301,445,155
302,455,155
303,465,155
304,475,155
305,485,155
306,495,155
307,505,155
308,515,155
309,525,155
310,535,155
311,545,155
312,555,155
313,565,155
314,575,155
315,585,155
316,595,155
317,605,155
318,615,155
319,625,155
320,635,155
321,295,165
322,305,165
323,315,165
324,335,165
325,345,165
326,355,165
327,365,165
328,375,165
329,385,165
330,395,165
331,405,165
332,415,165
333,425,165
334,435,165
335,445,165
336,455,165
337,465,165
338,475,165
339,485,165
340,495,165
341,505,165
342,515,165
343,525,165
344,535,165
345,545,165
346,555,165
347,565,165
348,575,165
349,585,165
350,595,165
351,605,165
352,615,165
353,625,165
354,635,165
355,285,175
356,295,175
357,305,175
358,315,175
359,345,175
360,355,175
361,365,175
362,375,175
363,385,175
364,395,175
365,405,175
366,415,175
367,425,175
368,435,175
369,445,175
370,455,175
371,465,175
372,475,175
373,485,175
374,495,175
375,505,175
376,515,175
377,525,175
378,535,175
379,545,175
380,555,175
381,565,175
382,575,175
383,585,175
384,595,175
385,245,185
386,255,185
387,285,185
388,295,185
389,305,185
390,315,185
391,325,185
392,335,185
393,345,185
394,355,185
395,365,185
396,375,185
397,385,185
398,395,185
399,405,185
400,415,185
401,425,185
402,435,185
403,445,185
404,455,185
405,465,185
406,475,185
407,485,185
408,495,185
409,505,185
410,515,185
411,525,185
412,535,185
413,545,185
414,555,185
415,565,185
416,575,185
417,585,185
418,595,185
419,195,195
420,245,195
421,255,195
422,265,195
423,275,195
424,285,195
425,295,195
426,305,195
427,315,195
428,325,195
429,335,195
430,345,195
431,355,195
432,365,195
433,375,195
434,385,195
435,395,195
436,405,195
437,415,195
438,425,195
439,435,195
440,445,195
441,455,195
442,465,195
443,475,195
444,485,195
445,495,195
446,505,195
447,515,195
448,525,195
449,535,195
450,545,195
451,555,195
452,565,195
453,575,195
454,585,195
455,595,195
456,185,205
457,195,205
458,205,205
459,215,205
460,225,205
461,235,205
462,245,205
463,255,205
464,265,205
465,275,205
466,285,205
467,295,205
468,305,205
469,315,205
470,325,205
471,335,205
472,345,205
473,355,205
474,365,205
475,375,205
476,385,205
477,395,205
478,405,205
479,415,205
480,425,205
481,435,205
482,445,205
483,455,205
484,465,205
485,475,205
486,485,205
487,495,205
488,505,205
489,515,205
490,525,205
491,535,205
492,545,205
493,555,205
494,565,205
495,575,205
496,585,205
497,595,205
498,185,215
499,195,215
500,205,215
501,215,215
502,225,215
503,235,215
504,245,215
505,255,215
506,265,215
507,275,215
508,285,215
509,295,215
510,305,215
511,315,215
512,325,215
513,335,215
514,345,215
515,355,215
516,365,215
517,375,215
518,385,215
519,395,215
520,405,215
521,415,215
522,425,215
523,435,215
524,445,215
525,455,215
526,465,215
527,475,215
528,485,215
529,495,215
530,505,215
531,515,215
532,525,215
533,535,215
534,545,215
535,555,215
536,565,215
537,575,215
538,585,215
539,595,215
540,605,215
541,615,215
542,175,225
543,185,225
544,195,225
545,205,225
546,215,225
547,225,225
548,235,225
549,245,225
550,255,225
551,265,225
552,275,225
553,285,225
554,295,225
555,305,225
556,315,225
557,325,225
558,335,225
559,345,225
560,355,225
561,365,225
562,375,225
563,385,225
564,395,225
565,405,225
566,415,225
567,425,225
568,435,225
569,445,225
570,455,225
571,465,225
572,475,225
573,485,225
574,495,225
575,505,225
576,515,225
577,525,225
578,535,225
579,545,225
580,555,225
581,565,225
582,575,225
583,585,225
584,595,225
585,605,225
586,615,225
587,625,225
588,195,235
589,205,235
590,215,235
591,225,235
592,235,235
593,245,235
594,255,235
595,265,235
596,275,235
597,285,235
598,295,235
599,305,235
600,315,235
601,325,235
602,335,235
603,345,235
604,355,235
605,365,235
606,375,235
607,385,235
608,395,235
609,405,235
610,415,235
611,425,235
612,435,235
613,445,235
614,455,235
615,465,235
616,475,235
617,485,235
618,495,235
619,505,235
620,515,235
621,525,235
622,535,235
623,545,235
624,555,235
625,565,235
626,575,235
627,585,235
628,595,235
629,605,235
630,615,235
631,625,235
632,215,245
633,225,245
634,235,245
635,245,245
636,255,245
637,265,245
638,275,245
639,285,245
640,295,245
641,305,245
642,315,245
643,325,245
644,335,245
645,345,245
646,355,245
647,365,245
648,375,245
649,385,245
650,395,245
651,405,245
652,415,245
653,425,245
654,435,245
655,445,245
656,455,245
657,465,245
658,475,245
659,485,245
660,495,245
661,505,245
662,515,245
663,525,245
664,535,245
665,545,245
666,555,245
667,565,245
668,575,245
669,585,245
670,595,245
671,605,245
672,615,245
673,625,245
674,235,255
675,245,255
676,255,255
677,265,255
678,275,255
679,285,255
680,295,255
681,305,255
682,315,255
683,325,255
684,335,255
685,345,255
686,355,255
687,365,255
688,375,255
689,385,255
690,395,255
691,405,255
692,415,255
693,425,255
694,435,255
695,445,255
696,455,255
697,465,255
698,475,255
699,485,255
700,495,255
701,505,255
702,515,255
703,525,255
704,535,255
705,545,255
706,555,255
707,565,255
708,575,255
709,585,255
710,595,255
711,605,255
712,615,255
713,625,255
714,635,255
715,645,255
