OBJECTID,id,x,y
5,5,-5.139567880386660,49.992000515737999
6,6,-5.703480116630570,50.065331772869399
7,7,-5.564018129934880,50.069703095946700
9,9,-5.284994634537110,50.077943692127398
10,10,-5.145435731582250,50.081812779069701
12,12,-5.710418564476860,50.155089907834103
13,13,-5.570696676411240,50.159475080645301
14,14,-5.430940958966870,50.163692407382698
15,15,-5.291152722562190,50.167741792515500
16,16,-5.151333279551250,50.171623144277198
17,17,-5.011483944147000,50.175336374673101
20,20,-3.751712433560950,50.201177342617299
24,24,-5.297342017413310,50.257537946344499
25,25,-5.157260720131870,50.261431608681299
26,26,-5.017149332838980,50.265156618292004
27,27,-4.877009180170710,50.268712890444299
30,30,-4.035638578204430,50.286502772229397
31,31,-3.895334292613040,50.288875830241402
32,32,-3.755011894177660,50.291079610487202
33,33,-3.614672720206940,50.293114062698699
34,34,-5.163218250945390,50.351238169585102
35,35,-5.022843487125100,50.354975002514600
36,36,-4.882439767227590,50.358542564134801
37,37,-4.742008426351660,50.361940773024301
38,38,-4.601550801260190,50.365169551598498
39,39,-4.461068230300580,50.368228826115903
40,40,-4.320562053324980,50.371118526683098
41,41,-4.180033611610260,50.373838587260600
42,42,-4.039484247777810,50.376388945667600
43,43,-3.898915305713060,50.378769543586699
44,44,-3.758328130484870,50.380980326568498
45,45,-3.617724068264690,50.383021244035398
46,46,-3.477104466245580,50.384892249285897
48,48,-5.028566597710270,50.444791524934502
49,49,-4.887897975480860,50.448370418446501
50,50,-4.747201548645050,50.451779422887100
51,51,-4.606478662802790,50.455018460194403
52,52,-4.465730665156550,50.458087456172699
53,53,-4.324958904430590,50.460986340498202
54,54,-4.184164730790100,50.463715046724602
55,55,-4.043349495759970,50.466273512287898
56,56,-3.902514552143570,50.468661678511197
57,57,-3.761661253941070,50.470879490609498
58,58,-3.620790956267800,50.472926897693199
59,59,-3.479905015272290,50.474803852772602
61,61,-5.034318857043830,50.534606183129299
62,62,-4.893383988561510,50.538196451254500
63,63,-4.752421130160880,50.541616291960899
64,64,-4.611431636359510,50.544865626705104
65,65,-4.470416863295650,50.547944380833599
66,66,-4.329378168646660,50.550852483588500
67,67,-4.188316911547190,50.553589868113200
68,68,-4.047234452507120,50.556156471457399
69,69,-3.906132153329280,50.558552234581597
70,70,-3.765011377026970,50.560777102362202
71,71,-3.623873487741350,50.562831023595201
72,72,-3.482719850658520,50.564713951000400
73,73,-2.494318309426880,50.573103469629501
74,74,-2.070618272523160,50.574130974657500
79,79,-4.757667347296380,50.631451378393500
80,80,-4.616409889391650,50.634711049550603
81,81,-4.475126983225940,50.637799598776503
82,82,-4.333819995511610,50.640716954875799
83,83,-4.192490294434900,50.643463050578099
84,84,-4.051139249572950,50.646037822543200
85,85,-3.909768231810620,50.648441211366404
86,86,-3.768378613257040,50.650673161582397
87,87,-3.626971767162070,50.652733621670201
88,88,-3.485549067832450,50.654622544056402
89,89,-3.344111890547910,50.656339885119600
