id,from,to,distance
2288551,1345,1736,576.15
2288552,1345,1737,564.88
2288553,1345,1738,558.44
2288554,1345,1739,584.19
2288555,1345,1740,508.55
2288556,1345,1741,500.51
2288557,1345,1742,500.51
2288558,1345,1743,379.81
2288559,1345,1744,362.1
2288560,1345,1745,352.45
2288561,1345,1746,342.79
2288562,1345,1747,326.7
2288563,1345,1748,315.43
2288564,1345,1749,307.38
2288565,1345,1750,305.78
2288566,1345,1751,304.17
2288567,1345,1752,300.95
2288568,1345,1753,304.17
2288569,1345,1754,305.78
2288570,1345,1755,291.29
2288571,1345,1756,280.03
2288572,1345,1757,268.76
2288573,1345,1758,259.1
2288574,1345,1759,257.5
2288575,1345,1760,244.62
2288576,1345,1761,234.96
2288577,1345,1762,560.05
2288578,1345,1763,552
2288579,1345,1764,532.69
2288580,1345,1765,552
2288581,1345,1766,497.29
2288582,1345,1767,490.85
2288583,1345,1768,465.1
2288584,1345,1769,466.71
2288585,1345,1770,371.76
2288586,1345,1771,349.23
2288587,1345,1772,337.96
2288588,1345,1773,326.7
2288589,1345,1774,318.65
2288590,1345,1775,315.43
2288591,1345,1776,329.92
2288592,1345,1777,315.43
2288593,1345,1778,313.82
2288594,1345,1779,318.65
2288595,1345,1780,325.09
2288596,1345,1781,291.29
2288597,1345,1782,284.85
2288598,1345,1783,283.24
2288599,1345,1784,270.37
2288600,1345,1785,270.37
2288601,1345,1786,254.28
2288602,1345,1787,568.1
2288603,1345,1788,545.57
2288604,1345,1789,560.05
2288605,1345,1790,479.58
2288606,1345,1791,474.76
2288607,1345,1792,463.49
2288608,1345,1793,455.44
2288609,1345,1794,453.84
2288610,1345,1795,362.1
2288611,1345,1796,352.45
2288612,1345,1797,349.23
2288613,1345,1798,336.35
2288614,1345,1799,326.7
2288615,1345,1800,328.31
2288616,1345,1801,342.79
2288617,1345,1802,346.01
2288618,1345,1803,352.45
2288619,1345,1804,339.57
2288620,1345,1805,321.87
2288621,1345,1806,310.6
2288622,1345,1807,300.95
2288623,1345,1808,289.68
2288624,1345,1809,280.03
2288625,1345,1810,268.76
2288626,1345,1811,-999
2288627,1345,1812,-999
2288628,1345,1813,479.58
2288629,1345,1814,465.1
2288630,1345,1815,442.57
2288631,1345,1816,452.23
2288632,1345,1817,439.35
2288633,1345,1818,391.07
2288634,1345,1819,363.71
2288635,1345,1820,368.54
2288636,1345,1821,352.45
2288637,1345,1822,347.62
2288638,1345,1823,350.84
2288639,1345,1824,342.79
2288640,1345,1825,352.45
2288641,1345,1826,362.1
2288642,1345,1827,374.98
2288643,1345,1828,384.63
2288644,1345,1829,294.51
2288645,1345,1830,540.74
2288646,1345,1831,-999
2288647,1345,1832,471.54
2288648,1345,1833,469.93
2288649,1345,1834,444.18
2288650,1345,1835,429.69
2288651,1345,1836,429.69
2288652,1345,1837,384.63
2288653,1345,1838,373.37
2288654,1345,1839,370.15
2288655,1345,1840,376.59
2288656,1345,1841,366.93
2288657,1345,1842,354.06
2288658,1345,1843,354.06
2288659,1345,1844,357.27
2288660,1345,1845,370.15
2288661,1345,1846,383.02
2288662,1345,1847,387.85
2288663,1345,1848,506.94
2288664,1345,1849,479.58
2288665,1345,1850,447.4
2288666,1345,1851,429.69
2288667,1345,1852,428.09
2288668,1345,1853,394.29
2288669,1345,1854,402.34
2288670,1345,1855,391.07
2288671,1345,1856,381.41
2288672,1345,1857,370.15
2288673,1345,1858,363.71
2288674,1345,1859,370.15
2288675,1345,1860,381.41
2288676,1345,1861,379.81
2288677,1345,1862,384.63
2288678,1345,1863,407.16
2288679,1345,1864,407.16
2288680,1345,1865,413.6
2288681,1345,1866,426.48
2288682,1345,1867,659.83
2288683,1345,1868,497.29
2288684,1345,1869,479.58
2288685,1345,1870,442.57
2288686,1345,1871,431.3
2288687,1345,1872,405.55
2288688,1345,1873,394.29
2288689,1345,1874,408.77
2288690,1345,1875,386.24
2288691,1345,1876,394.29
2288692,1345,1877,392.68
2288693,1345,1878,374.98
2288694,1345,1879,381.41
2288695,1345,1880,395.9
2288696,1345,1881,408.77
2288697,1345,1882,400.73
2288698,1345,1883,405.55
2288699,1345,1884,424.87
2288700,1345,1885,434.52
2288701,1345,1886,-999
2288702,1345,1887,661.44
2288703,1345,1888,646.96
2288704,1345,1889,643.74
2288705,1345,1890,626.03
2288706,1345,1891,481.19
2288707,1345,1892,463.49
2288708,1345,1893,465.1
2288709,1345,1894,440.96
2288710,1345,1895,429.69
2288711,1345,1896,407.16
2288712,1345,1897,415.21
2288713,1345,1898,397.51
2288714,1345,1899,400.73
2288715,1345,1900,391.07
2288716,1345,1901,386.24
2288717,1345,1902,399.12
2288718,1345,1903,397.51
2288719,1345,1904,405.55
2288720,1345,1905,418.43
2288721,1345,1906,423.26
2288722,1345,1907,590.63
2288723,1345,1908,-999
2288724,1345,1909,627.64
2288725,1345,1910,619.6
2288726,1345,1911,624.43
2288727,1345,1912,474.76
2288728,1345,1913,460.27
2288729,1345,1914,471.54
2288730,1345,1915,432.91
2288731,1345,1916,426.48
2288732,1345,1917,421.65
2288733,1345,1918,410.38
2288734,1345,1919,415.21
2288735,1345,1920,413.6
2288736,1345,1921,407.16
2288737,1345,1922,410.38
