id,from,to,distance
1950826,1057,1979,733.86
1950827,1057,1980,719.38
1950828,1057,1981,698.46
1950829,1057,1982,703.28
1950830,1057,1983,703.28
1950831,1057,1984,682.36
1950832,1057,1985,609.94
1950833,1057,1986,613.16
1950834,1057,1987,616.38
1950835,1057,1988,675.92
1950836,1057,1989,632.47
1950837,1057,1990,630.86
1950838,1057,1991,603.5
1950839,1057,1992,593.85
1950840,1057,1993,580.97
1950841,1057,1994,582.58
1950842,1057,1995,580.97
1950843,1057,1996,580.97
1950844,1057,1997,584.19
1950845,1057,1998,605.11
1950846,1057,1999,603.5
1950847,1057,2000,606.72
1950848,1057,2001,613.16
1950849,1057,2002,626.03
1950850,1057,2003,-999
1950851,1057,2004,688.8
1950852,1057,2005,655
1950853,1057,2006,646.96
1950854,1057,2007,653.39
1950855,1057,2008,626.03
1950856,1057,2009,683.97
1950857,1057,2010,667.88
1950858,1057,2011,638.91
1950859,1057,2012,627.64
1950860,1057,2013,605.11
1950861,1057,2014,598.68
1950862,1057,2015,590.63
1950863,1057,2016,593.85
1950864,1057,2017,592.24
1950865,1057,2018,592.24
1950866,1057,2019,619.6
1950867,1057,2020,613.16
1950868,1057,2021,617.99
1950869,1057,2022,632.47
1950870,1057,2023,621.21
1950871,1057,2024,626.03
1950872,1057,2025,638.91
1950873,1057,2026,717.77
1950874,1057,2027,679.14
1950875,1057,2028,666.27
1950876,1057,2029,653.39
1950877,1057,2030,655
1950878,1057,2031,638.91
1950879,1057,2032,635.69
1950880,1057,2033,682.36
1950881,1057,2034,663.05
1950882,1057,2035,648.57
1950883,1057,2036,642.13
1950884,1057,2037,616.38
1950885,1057,2038,659.83
1950886,1057,2039,669.49
1950887,1057,2040,632.47
1950888,1057,2041,621.21
1950889,1057,2042,601.89
1950890,1057,2043,637.3
1950891,1057,2044,648.57
1950892,1057,2045,635.69
1950893,1057,2046,640.52
1950894,1057,2047,635.69
1950895,1057,2048,642.13
1950896,1057,2049,642.13
1950897,1057,2050,727.42
1950898,1057,2051,700.06
1950899,1057,2052,-999
1950900,1057,2053,669.49
1950901,1057,2054,658.22
1950902,1057,2055,717.77
1950903,1057,2056,701.67
1950904,1057,2057,683.97
1950905,1057,2058,646.96
1950906,1057,2059,637.3
1950907,1057,2060,632.47
1950908,1057,2061,648.57
1950909,1057,2062,658.22
1950910,1057,2063,669.49
1950911,1057,2064,-999
1950912,1057,2065,617.99
1950913,1057,2066,621.21
1950914,1057,2067,634.08
1950915,1057,2068,666.27
1950916,1057,2069,653.39
1950917,1057,2070,646.96
1950918,1057,2071,661.44
1950919,1057,2072,653.39
1950920,1057,2073,740.3
1950921,1057,2074,730.64
1950922,1057,2075,822.37
1950923,1057,2076,811.11
1950924,1057,2077,-999
1950925,1057,2078,-999
1950926,1057,2079,738.69
1950927,1057,2080,729.03
1950928,1057,2081,745.13
1950929,1057,2082,704.89
1950930,1057,2083,704.89
1950931,1057,2084,717.77
1950932,1057,2085,743.52
1950933,1057,2086,640.52
1950934,1057,2087,643.74
1950935,1057,2088,650.17
1950936,1057,2089,663.05
1950937,1057,2090,666.27
1950938,1057,2091,658.22
1950939,1057,2092,648.57
1950940,1057,2093,637.3
1950941,1057,2094,667.88
1950942,1057,2095,661.44
1950943,1057,2096,659.83
1950944,1057,2097,674.32
1950945,1057,2098,664.66
1950946,1057,2099,666.27
1950947,1057,2100,-999
1950948,1057,2101,812.72
1950949,1057,2102,798.23
1950950,1057,2103,775.7
1950951,1057,2104,748.34
1950952,1057,2105,735.47
1950953,1057,2106,729.03
1950954,1057,2107,729.03
1950955,1057,2108,727.42
1950956,1057,2109,733.86
1950957,1057,2110,732.25
1950958,1057,2111,703.28
1950959,1057,2112,696.85
1950960,1057,2113,672.71
1950961,1057,2114,666.27
1950962,1057,2115,683.97
1950963,1057,2116,706.5
1950964,1057,2117,650.17
1950965,1057,2118,651.78
1950966,1057,2119,682.36
1950967,1057,2120,672.71
1950968,1057,2121,674.32
1950969,1057,2122,683.97
1950970,1057,2123,680.75
1950971,1057,2124,680.75
1950972,1057,2125,836.86
1950973,1057,2126,835.25
1950974,1057,2127,804.67
1950975,1057,2128,793.41
1950976,1057,2129,780.53
1950977,1057,2130,769.27
1950978,1057,2131,762.83
1950979,1057,2132,785.36
1950980,1057,2133,772.49
1950981,1057,2134,761.22
1950982,1057,2135,759.61
1950983,1057,2136,735.47
1950984,1057,2137,724.2
1950985,1057,2138,708.11
1950986,1057,2139,685.58
1950987,1057,2140,672.71
1950988,1057,2141,672.71
1950989,1057,2142,682.36
1950990,1057,2143,703.28
1950991,1057,2144,717.77
1950992,1057,2145,704.89
1950993,1057,2146,693.63
1950994,1057,2147,683.97
1950995,1057,2148,687.19
1950996,1057,2149,693.63
1950997,1057,2150,690.41
1950998,1057,2151,688.8
1950999,1057,2152,835.25
1951000,1057,2153,822.37
1951001,1057,2154,820.77
1951002,1057,2155,780.53
1951003,1057,2156,780.53
1951004,1057,2157,807.89
1951005,1057,2158,-999
1951006,1057,2159,769.27
1951007,1057,2160,762.83
1951008,1057,2161,749.95
1951009,1057,2162,732.25
1951010,1057,2163,724.2
1951011,1057,2164,704.89
1951012,1057,2165,688.8
1951013,1057,2166,687.19
1951014,1057,2167,682.36
1951015,1057,2168,688.8
1951016,1057,2169,696.85
1951017,1057,2170,719.38
1951018,1057,2171,729.03
1951019,1057,2172,706.5
1951020,1057,2173,698.46
1951021,1057,2174,711.33
1951022,1057,2175,706.5
1951023,1057,2176,701.67
1951024,1057,2177,701.67
1951025,1057,2178,704.89
1951026,1057,2179,869.05
1951027,1057,2180,854.56
1951028,1057,2181,851.34
1951029,1057,2182,835.25
1951030,1057,2183,828.81
1951031,1057,2184,825.59
1951032,1057,2185,814.33
1951033,1057,2186,795.02
1951034,1057,2187,788.58
1951035,1057,2188,-999
1951036,1057,2189,-999
1951037,1057,2190,746.74
1951038,1057,2191,746.74
1951039,1057,2192,719.38
1951040,1057,2193,708.11
1951041,1057,2194,701.67
1951042,1057,2195,709.72
1951043,1057,2196,698.46
1951044,1057,2197,704.89
1951045,1057,2198,716.16
1951046,1057,2199,717.77
1951047,1057,2200,729.03
1951048,1057,2201,733.86
1951049,1057,2202,729.03
1951050,1057,2203,719.38
1951051,1057,2204,716.16
1951052,1057,2205,716.16
1951053,1057,2206,712.94
1951054,1057,2207,712.94
1951055,1057,2208,865.83
1951056,1057,2209,862.61
1951057,1057,2210,851.34
1951058,1057,2211,844.91
1951059,1057,2212,820.77
1951060,1057,2213,806.28
1951061,1057,2214,793.41
1951062,1057,2215,793.41
1951063,1057,2216,770.88
1951064,1057,2217,754.78
1951065,1057,2218,745.13
1951066,1057,2219,735.47
1951067,1057,2220,722.6
1951068,1057,2221,717.77
1951069,1057,2222,722.6
1951070,1057,2223,706.5
1951071,1057,2224,711.33
1951072,1057,2225,727.42
1951073,1057,2226,737.08
1951074,1057,2227,735.47
1951075,1057,2228,741.91
1951076,1057,2229,740.3
1951077,1057,2230,732.25
1951078,1057,2231,727.42
1951079,1057,2232,727.42
1951080,1057,2233,724.2
1951081,1057,2234,729.03
1951082,1057,2235,873.87
1951083,1057,2236,864.22
1951084,1057,2237,823.98
1951085,1057,2238,-999
1951086,1057,2239,791.8
1951087,1057,2240,785.36
1951088,1057,2241,-999
1951089,1057,2242,761.22
1951090,1057,2243,748.34
1951091,1057,2244,749.95
1951092,1057,2245,735.47
1951093,1057,2246,730.64
1951094,1057,2247,735.47
1951095,1057,2248,719.38
1951096,1057,2249,727.42
1951097,1057,2250,740.3
1951098,1057,2251,741.91
1951099,1057,2252,748.34
1951100,1057,2253,759.61
1951101,1057,2254,743.52
1951102,1057,2255,741.91
1951103,1057,2256,738.69
1951104,1057,2257,735.47
1951105,1057,2258,735.47
1951106,1057,2259,870.66
1951107,1057,2260,817.55
1951108,1057,2261,812.72
1951109,1057,2262,836.86
1951110,1057,2263,-999
1951111,1057,2264,780.53
1951112,1057,2265,769.27
1951113,1057,2266,759.61
1951114,1057,2267,745.13
1951115,1057,2268,759.61
1951116,1057,2269,740.3
1951117,1057,2270,748.34
1951118,1057,2271,758
1951119,1057,2272,827.2
1951120,1057,2273,828.81
1951121,1057,2274,820.77
1951122,1057,2275,798.23
1951123,1057,2276,783.75
1951124,1057,2277,785.36
1951125,1057,2278,770.88
1951126,1057,2279,762.83
1951127,1057,2280,753.17
1951128,1057,2281,751.56
1951129,1057,2282,761.22
1951130,1057,2283,762.83
1951131,1057,2284,827.2
1951132,1057,2285,809.5
1951133,1057,2286,807.89
1951134,1057,2287,796.63
1951135,1057,2288,798.23
1951136,1057,2289,793.41
1951137,1057,2290,780.53
1951138,1057,2291,770.88
1951139,1057,2292,767.66
1951140,1057,2293,775.7
1951141,1057,2294,814.33
1951142,1057,2295,835.25
1951143,1057,2296,809.5
1951144,1057,2297,806.28
1951145,1057,2298,798.23
1951146,1057,2299,786.97
1951147,1057,2300,783.75
1951148,1057,2301,795.02
1951149,1057,2302,793.41
1951150,1057,2303,795.02
1951151,1057,2304,827.2
1951152,1057,2305,-999
1951153,1057,2306,823.98
1951154,1057,2307,807.89
1951155,1057,2308,796.63
1951156,1057,2309,790.19
1951157,1057,2310,793.41
1951158,1057,2311,801.45
1951159,1057,2312,806.28
1951160,1057,2313,806.28
1951161,1057,2314,854.56
1951162,1057,2315,843.3
1951163,1057,2316,833.64
1951164,1057,2317,811.11
1951165,1057,2318,804.67
1951166,1057,2319,801.45
1951167,1057,2320,856.17
1951168,1057,2321,-999
1951169,1057,2322,825.59
1951170,1057,2323,822.37
1951171,1057,2324,833.64
1951172,1057,2325,864.22
1951173,1057,2326,851.34
1951174,1057,2327,851.34
1951175,1057,2328,820.77
1951176,1057,2329,823.98
1951177,1057,2330,815.94
1951178,1057,2331,823.98
1951179,1057,2332,840.08
1951180,1057,2333,832.03
1951181,1057,2334,859.39
1951182,1057,2335,849.73
1951183,1057,2336,841.69
1951184,1057,2337,848.12
1951185,1057,2338,851.34
1951186,1057,2339,836.86
1951187,1057,2340,836.86
1951188,1057,2341,832.03
1951189,1057,2342,856.17
1951190,1057,2343,825.59
1951191,1057,2344,835.25
1951192,1057,2345,857.78
1951193,1057,2346,854.56
1951194,1057,2347,877.09
1951195,1057,2348,872.26
1951196,1057,2349,859.39
1951197,1057,2350,862.61
1951198,1057,2351,849.73
1951199,1057,2352,857.78
1951200,1057,2353,864.22
1951201,1057,2354,848.12
1951202,1057,2355,852.95
1951203,1057,2356,889.97
1951204,1057,2357,877.09
1951205,1057,2358,891.58
1951206,1057,2359,881.92
1951207,1057,2360,865.83
1951208,1057,2361,870.66
1951209,1057,2362,873.87
1951210,1057,2363,-999
1951211,1057,2364,-999
1951212,1057,2365,852.95
1951213,1057,2366,851.34
1951214,1057,2367,859.39
1951215,1057,2368,867.44
1951216,1057,2369,869.05
1951217,1057,2370,883.53
1951218,1057,2371,875.48
1951219,1057,2372,878.7
1951220,1057,2373,885.14
