id,from,to,distance
1804051,950,1901,638.91
1804052,950,1902,650.17
1804053,950,1903,648.57
1804054,950,1904,656.61
1804055,950,1905,669.49
1804056,950,1906,671.1
1804057,950,1907,841.69
1804058,950,1908,-999
1804059,950,1909,880.31
1804060,950,1910,870.66
1804061,950,1911,875.48
1804062,950,1912,725.81
1804063,950,1913,711.33
1804064,950,1914,722.6
1804065,950,1915,685.58
1804066,950,1916,677.53
1804067,950,1917,672.71
1804068,950,1918,661.44
1804069,950,1919,666.27
1804070,950,1920,664.66
1804071,950,1921,658.22
1804072,950,1922,661.44
1804073,950,1923,663.05
1804074,950,1924,666.27
1804075,950,1925,682.36
1804076,950,1926,685.58
1804077,950,1927,693.63
1804078,950,1928,704.89
1804079,950,1929,840.08
1804080,950,1930,827.2
1804081,950,1931,889.97
1804082,950,1932,880.31
1804083,950,1933,865.83
1804084,950,1934,849.73
1804085,950,1935,-999
1804086,950,1936,738.69
1804087,950,1937,743.52
1804088,950,1938,717.77
1804089,950,1939,688.8
1804090,950,1940,688.8
1804091,950,1941,695.24
1804092,950,1942,683.97
1804093,950,1943,692.02
1804094,950,1944,674.32
1804095,950,1945,671.1
1804096,950,1946,671.1
1804097,950,1947,675.92
1804098,950,1948,679.14
1804099,950,1949,685.58
1804100,950,1950,703.28
1804101,950,1951,703.28
1804102,950,1952,711.33
1804103,950,1953,717.77
1804104,950,1954,812.72
1804105,950,1955,891.58
1804106,950,1956,886.75
1804107,950,1957,865.83
1804108,950,1958,849.73
1804109,950,1959,830.42
1804110,950,1960,820.77
1804111,950,1961,738.69
1804112,950,1962,712.94
1804113,950,1963,701.67
1804114,950,1964,711.33
1804115,950,1965,754.78
1804116,950,1966,695.24
1804117,950,1967,703.28
1804118,950,1968,688.8
1804119,950,1969,700.06
1804120,950,1970,693.63
1804121,950,1971,695.24
1804122,950,1972,690.41
1804123,950,1973,695.24
1804124,950,1974,701.67
1804125,950,1975,712.94
1804126,950,1976,719.38
1804127,950,1977,727.42
1804128,950,1978,814.33
1804129,950,1979,856.17
1804130,950,1980,843.3
1804131,950,1981,820.77
1804132,950,1982,827.2
1804133,950,1983,825.59
1804134,950,1984,804.67
1804135,950,1985,732.25
1804136,950,1986,737.08
1804137,950,1987,740.3
1804138,950,1988,798.23
1804139,950,1989,756.39
1804140,950,1990,753.17
1804141,950,1991,727.42
1804142,950,1992,716.16
1804143,950,1993,703.28
1804144,950,1994,706.5
1804145,950,1995,703.28
1804146,950,1996,703.28
1804147,950,1997,706.5
1804148,950,1998,729.03
1804149,950,1999,727.42
1804150,950,2000,730.64
1804151,950,2001,735.47
1804152,950,2002,748.34
1804153,950,2003,-999
1804154,950,2004,812.72
1804155,950,2005,778.92
1804156,950,2006,769.27
1804157,950,2007,777.31
1804158,950,2008,749.95
1804159,950,2009,806.28
1804160,950,2010,790.19
1804161,950,2011,761.22
1804162,950,2012,751.56
1804163,950,2013,729.03
1804164,950,2014,720.99
1804165,950,2015,712.94
1804166,950,2016,716.16
1804167,950,2017,716.16
1804168,950,2018,714.55
1804169,950,2019,743.52
1804170,950,2020,735.47
1804171,950,2021,740.3
1804172,950,2022,754.78
1804173,950,2023,745.13
1804174,950,2024,749.95
1804175,950,2025,761.22
1804176,950,2026,841.69
1804177,950,2027,803.06
1804178,950,2028,790.19
1804179,950,2029,777.31
1804180,950,2030,777.31
1804181,950,2031,762.83
1804182,950,2032,758
1804183,950,2033,804.67
1804184,950,2034,785.36
1804185,950,2035,770.88
1804186,950,2036,766.05
1804187,950,2037,740.3
1804188,950,2038,783.75
1804189,950,2039,791.8
1804190,950,2040,754.78
1804191,950,2041,745.13
1804192,950,2042,724.2
1804193,950,2043,761.22
1804194,950,2044,770.88
1804195,950,2045,758
1804196,950,2046,764.44
1804197,950,2047,758
