id,from,to,distance
2006401,1100,1826,505.33
2006402,1100,1827,518.21
2006403,1100,1828,529.47
2006404,1100,1829,437.74
2006405,1100,1830,683.97
2006406,1100,1831,-999
2006407,1100,1832,614.77
2006408,1100,1833,613.16
2006409,1100,1834,587.41
2006410,1100,1835,572.93
2006411,1100,1836,574.54
2006412,1100,1837,529.47
2006413,1100,1838,516.6
2006414,1100,1839,513.38
2006415,1100,1840,519.82
2006416,1100,1841,510.16
2006417,1100,1842,497.29
2006418,1100,1843,497.29
2006419,1100,1844,502.12
2006420,1100,1845,513.38
2006421,1100,1846,526.26
2006422,1100,1847,532.69
2006423,1100,1848,650.17
2006424,1100,1849,622.82
2006425,1100,1850,590.63
2006426,1100,1851,572.93
2006427,1100,1852,571.32
2006428,1100,1853,537.52
2006429,1100,1854,545.57
2006430,1100,1855,534.3
2006431,1100,1856,524.65
2006432,1100,1857,513.38
2006433,1100,1858,506.94
2006434,1100,1859,513.38
2006435,1100,1860,524.65
2006436,1100,1861,523.04
2006437,1100,1862,527.86
2006438,1100,1863,550.4
2006439,1100,1864,550.4
2006440,1100,1865,556.83
2006441,1100,1866,569.71
2006442,1100,1867,803.06
2006443,1100,1868,640.52
2006444,1100,1869,622.82
2006445,1100,1870,587.41
2006446,1100,1871,574.54
2006447,1100,1872,548.79
2006448,1100,1873,537.52
2006449,1100,1874,552
2006450,1100,1875,529.47
2006451,1100,1876,537.52
2006452,1100,1877,535.91
2006453,1100,1878,518.21
2006454,1100,1879,524.65
2006455,1100,1880,539.13
2006456,1100,1881,552
2006457,1100,1882,543.96
2006458,1100,1883,550.4
2006459,1100,1884,568.1
2006460,1100,1885,577.75
2006461,1100,1886,-999
2006462,1100,1887,804.67
2006463,1100,1888,790.19
2006464,1100,1889,786.97
2006465,1100,1890,769.27
2006466,1100,1891,626.03
2006467,1100,1892,606.72
2006468,1100,1893,608.33
2006469,1100,1894,584.19
2006470,1100,1895,572.93
2006471,1100,1896,552
2006472,1100,1897,558.44
2006473,1100,1898,540.74
2006474,1100,1899,542.35
2006475,1100,1900,534.3
2006476,1100,1901,531.08
2006477,1100,1902,542.35
2006478,1100,1903,540.74
2006479,1100,1904,548.79
2006480,1100,1905,561.66
2006481,1100,1906,568.1
2006482,1100,1907,733.86
2006483,1100,1908,-999
2006484,1100,1909,772.49
2006485,1100,1910,762.83
2006486,1100,1911,767.66
2006487,1100,1912,617.99
2006488,1100,1913,603.5
2006489,1100,1914,614.77
2006490,1100,1915,577.75
2006491,1100,1916,569.71
2006492,1100,1917,564.88
2006493,1100,1918,553.61
2006494,1100,1919,558.44
2006495,1100,1920,556.83
2006496,1100,1921,550.4
2006497,1100,1922,553.61
2006498,1100,1923,555.22
2006499,1100,1924,558.44
2006500,1100,1925,572.93
2006501,1100,1926,576.15
2006502,1100,1927,585.8
2006503,1100,1928,597.07
2006504,1100,1929,732.25
2006505,1100,1930,719.38
2006506,1100,1931,782.14
2006507,1100,1932,772.49
2006508,1100,1933,756.39
2006509,1100,1934,740.3
2006510,1100,1935,-999
2006511,1100,1936,629.25
2006512,1100,1937,635.69
2006513,1100,1938,609.94
2006514,1100,1939,580.97
2006515,1100,1940,580.97
2006516,1100,1941,587.41
2006517,1100,1942,576.15
2006518,1100,1943,584.19
2006519,1100,1944,564.88
2006520,1100,1945,563.27
2006521,1100,1946,563.27
2006522,1100,1947,568.1
2006523,1100,1948,571.32
2006524,1100,1949,577.75
2006525,1100,1950,593.85
2006526,1100,1951,595.46
2006527,1100,1952,603.5
2006528,1100,1953,609.94
2006529,1100,1954,704.89
2006530,1100,1955,783.75
2006531,1100,1956,778.92
2006532,1100,1957,756.39
2006533,1100,1958,741.91
2006534,1100,1959,722.6
2006535,1100,1960,712.94
2006536,1100,1961,630.86
2006537,1100,1962,605.11
2006538,1100,1963,593.85
2006539,1100,1964,603.5
2006540,1100,1965,646.96
2006541,1100,1966,585.8
2006542,1100,1967,593.85
2006543,1100,1968,580.97
2006544,1100,1969,592.24
2006545,1100,1970,585.8
2006546,1100,1971,587.41
2006547,1100,1972,582.58
2006548,1100,1973,587.41
2006549,1100,1974,592.24
2006550,1100,1975,603.5
2006551,1100,1976,611.55
2006552,1100,1977,619.6
2006553,1100,1978,706.5
2006554,1100,1979,748.34
2006555,1100,1980,735.47
2006556,1100,1981,712.94
2006557,1100,1982,717.77
2006558,1100,1983,717.77
2006559,1100,1984,696.85
2006560,1100,1985,624.43
2006561,1100,1986,627.64
2006562,1100,1987,632.47
2006563,1100,1988,690.41
2006564,1100,1989,648.57
2006565,1100,1990,645.35
2006566,1100,1991,619.6
2006567,1100,1992,608.33
2006568,1100,1993,595.46
2006569,1100,1994,598.68
2006570,1100,1995,595.46
2006571,1100,1996,595.46
2006572,1100,1997,598.68
2006573,1100,1998,621.21
2006574,1100,1999,619.6
2006575,1100,2000,621.21
2006576,1100,2001,627.64
2006577,1100,2002,640.52
2006578,1100,2003,-999
2006579,1100,2004,704.89
2006580,1100,2005,671.1
2006581,1100,2006,661.44
2006582,1100,2007,669.49
2006583,1100,2008,642.13
2006584,1100,2009,698.46
2006585,1100,2010,682.36
2006586,1100,2011,653.39
2006587,1100,2012,643.74
2006588,1100,2013,621.21
2006589,1100,2014,613.16
2006590,1100,2015,605.11
2006591,1100,2016,608.33
2006592,1100,2017,608.33
2006593,1100,2018,606.72
2006594,1100,2019,635.69
2006595,1100,2020,627.64
2006596,1100,2021,632.47
2006597,1100,2022,646.96
