id,from,to,distance
2641951,1780,1916,150.96
2641952,1780,1917,136.47
2641953,1780,1918,124.89
2641954,1780,1919,129.55
2641955,1780,1920,126.66
2641956,1780,1921,125.85
2641957,1780,1922,119.25
2641958,1780,1923,97.69
2641959,1780,1924,96.72
2641960,1780,1925,106.54
2641961,1780,1926,109.6
2641962,1780,1927,118.45
2641963,1780,1928,129.39
2641964,1780,1929,313.82
2641965,1780,1930,300.95
2641966,1780,1931,386.24
2641967,1780,1932,376.59
2641968,1780,1933,360.49
2641969,1780,1934,346.01
2641970,1780,1935,-999
2641971,1780,1936,210.82
2641972,1780,1937,217.26
2641973,1780,1938,191.51
2641974,1780,1939,162.54
2641975,1780,1940,162.54
2641976,1780,1941,159
2641977,1780,1942,147.25
2641978,1780,1943,155.62
2641979,1780,1944,144.68
2641980,1780,1945,131.64
2641981,1780,1946,131.81
2641982,1780,1947,110.08
2641983,1780,1948,109.44
2641984,1780,1949,110.56
2641985,1780,1950,127.3
2641986,1780,1951,127.94
2641987,1780,1952,136.31
2641988,1780,1953,142.43
2641989,1780,1954,286.46
2641990,1780,1955,387.85
2641991,1780,1956,383.02
2641992,1780,1957,360.49
2641993,1780,1958,346.01
2641994,1780,1959,326.7
2641995,1780,1960,317.04
2641996,1780,1961,212.43
2641997,1780,1962,186.68
2641998,1780,1963,175.42
2641999,1780,1964,185.07
2642000,1780,1965,188.29
2642001,1780,1966,178.64
2642002,1780,1967,168.98
2642003,1780,1968,150.31
2642004,1780,1969,133.9
2642005,1780,1970,127.46
2642006,1780,1971,124.89
2642007,1780,1972,120.38
2642008,1780,1973,123.44
2642009,1780,1974,127.14
2642010,1780,1975,136.96
2642011,1780,1976,143.88
2642012,1780,1977,152.24
2642013,1780,1978,288.07
2642014,1780,1979,352.45
2642015,1780,1980,339.57
2642016,1780,1981,317.04
2642017,1780,1982,321.87
2642018,1780,1983,321.87
2642019,1780,1984,300.95
2642020,1780,1985,206
2642021,1780,1986,209.21
2642022,1780,1987,214.04
2642023,1780,1988,231.75
2642024,1780,1989,189.9
2642025,1780,1990,188.29
2642026,1780,1991,160.93
2642027,1780,1992,150.47
2642028,1780,1993,137.92
2642029,1780,1994,140.17
2642030,1780,1995,137.76
2642031,1780,1996,133.09
2642032,1780,1997,135.83
2642033,1780,1998,153.53
2642034,1780,1999,152.08
2642035,1780,2000,154.66
2642036,1780,2001,160.93
2642037,1780,2002,173.81
2642038,1780,2003,-999
2642039,1780,2004,308.99
2642040,1780,2005,275.2
2642041,1780,2006,265.54
2642042,1780,2007,273.59
2642043,1780,2008,244.62
2642044,1780,2009,239.79
2642045,1780,2010,225.31
2642046,1780,2011,196.34
2642047,1780,2012,185.07
2642048,1780,2013,162.54
2642049,1780,2014,155.14
2642050,1780,2015,147.42
2642051,1780,2016,150.96
2642052,1780,2017,145.48
2642053,1780,2018,144.36
2642054,1780,2019,167.37
2642055,1780,2020,160.93
2642056,1780,2021,165.76
2642057,1780,2022,180.25
2642058,1780,2023,168.98
2642059,1780,2024,173.81
2642060,1780,2025,186.68
2642061,1780,2026,337.96
2642062,1780,2027,299.34
2642063,1780,2028,286.46
2642064,1780,2029,273.59
2642065,1780,2030,273.59
2642066,1780,2031,259.1
2642067,1780,2032,243.01
2642068,1780,2033,238.18
2642069,1780,2034,220.48
2642070,1780,2035,206
2642071,1780,2036,199.56
2642072,1780,2037,173.81
2642073,1780,2038,217.26
2642074,1780,2039,225.31
2642075,1780,2040,185.07
