id,from,to,distance
2359801,1417,1454,239.79
2359802,1417,1455,247.84
2359803,1417,1456,38.14
2359804,1417,1457,44.9
2359805,1417,1458,60.51
2359806,1417,1459,71.13
2359807,1417,1460,83.52
2359808,1417,1461,95.6
2359809,1417,1462,103.64
2359810,1417,1463,115.39
2359811,1417,1464,135.67
2359812,1417,1465,145.65
2359813,1417,1466,159.33
2359814,1417,1467,167.37
2359815,1417,1468,178.64
2359816,1417,1469,201.17
2359817,1417,1470,210.82
2359818,1417,1471,215.65
2359819,1417,1472,226.92
2359820,1417,1473,254.28
2359821,1417,1474,51.82
2359822,1417,1475,54.56
2359823,1417,1476,56.97
2359824,1417,1477,81.43
2359825,1417,1478,94.63
2359826,1417,1479,97.2
2359827,1417,1480,107.18
2359828,1417,1481,129.07
2359829,1417,1482,145.65
2359830,1417,1483,151.12
2359831,1417,1484,177.03
2359832,1417,1485,178.64
2359833,1417,1486,181.86
2359834,1417,1487,206
2359835,1417,1488,218.87
2359836,1417,1489,243.01
2359837,1417,1490,241.4
2359838,1417,1491,196.34
2359839,1417,1492,188.29
2359840,1417,1493,65.98
2359841,1417,1494,69.36
2359842,1417,1495,81.75
2359843,1417,1496,96.08
2359844,1417,1497,112.49
2359845,1417,1498,109.92
2359846,1417,1499,124.4
2359847,1417,1500,142.75
2359848,1417,1501,152.57
2359849,1417,1502,181.86
2359850,1417,1503,185.07
2359851,1417,1504,196.34
2359852,1417,1505,210.82
2359853,1417,1506,223.7
2359854,1417,1507,260.71
2359855,1417,1508,249.45
2359856,1417,1509,247.84
2359857,1417,1510,233.35
2359858,1417,1511,236.57
2359859,1417,1512,196.34
2359860,1417,1513,188.29
2359861,1417,1514,183.47
2359862,1417,1515,173.81
2359863,1417,1516,165.76
2359864,1417,1517,80.31
2359865,1417,1518,84.97
2359866,1417,1519,87.71
2359867,1417,1520,95.11
2359868,1417,1521,105.73
2359869,1417,1522,126.49
2359870,1417,1523,139.21
2359871,1417,1524,145
2359872,1417,1525,159.97
2359873,1417,1526,168.98
2359874,1417,1527,178.64
2359875,1417,1528,191.51
2359876,1417,1529,201.17
2359877,1417,1530,263.93
2359878,1417,1531,254.28
2359879,1417,1532,239.79
2359880,1417,1533,230.14
2359881,1417,1534,220.48
2359882,1417,1535,207.61
2359883,1417,1536,183.47
2359884,1417,1537,172.2
2359885,1417,1538,162.54
2359886,1417,1539,153.85
2359887,1417,1540,140.01
2359888,1417,1541,124.4
2359889,1417,1542,112.65
2359890,1417,1543,99.62
2359891,1417,1544,103.64
2359892,1417,1545,108.15
2359893,1417,1546,117.16
2359894,1417,1547,129.07
2359895,1417,1548,139.05
2359896,1417,1549,150.47
2359897,1417,1550,160.93
2359898,1417,1551,173.81
2359899,1417,1552,183.47
2359900,1417,1553,196.34
2359901,1417,1554,273.59
2359902,1417,1555,265.54
2359903,1417,1556,244.62
2359904,1417,1557,231.75
2359905,1417,1558,231.75
2359906,1417,1559,193.12
2359907,1417,1560,186.68
2359908,1417,1561,168.98
2359909,1417,1562,157.23
2359910,1417,1563,147.25
2359911,1417,1564,133.58
2359912,1417,1565,125.37
2359913,1417,1566,116.36
2359914,1417,1567,116.03
2359915,1417,1568,112.49
2359916,1417,1569,118.77
2359917,1417,1570,129.55
2359918,1417,1571,138.4
2359919,1417,1572,149.51
2359920,1417,1573,152.57
2359921,1417,1574,170.59
2359922,1417,1575,181.86
2359923,1417,1576,189.9
2359924,1417,1577,199.56
2359925,1417,1578,262.32
2359926,1417,1579,251.06
2359927,1417,1580,244.62
2359928,1417,1581,207.61
2359929,1417,1582,196.34
2359930,1417,1583,188.29
2359931,1417,1584,170.59
2359932,1417,1585,162.54
2359933,1417,1586,150.31
2359934,1417,1587,140.01
2359935,1417,1588,134.06
2359936,1417,1589,130.36
2359937,1417,1590,121.51
2359938,1417,1591,125.53
2359939,1417,1592,129.39
2359940,1417,1593,162.54
2359941,1417,1594,168.98
2359942,1417,1595,162.54
2359943,1417,1596,168.98
2359944,1417,1597,168.98
2359945,1417,1598,180.25
2359946,1417,1599,199.56
2359947,1417,1600,270.37
2359948,1417,1601,251.06
2359949,1417,1602,255.89
2359950,1417,1603,230.14
2359951,1417,1604,202.78
2359952,1417,1605,191.51
2359953,1417,1606,173.81
2359954,1417,1607,167.37
2359955,1417,1608,157.39
2359956,1417,1609,149.03
2359957,1417,1610,145.81
2359958,1417,1611,155.3
2359959,1417,1612,132.29
2359960,1417,1613,141.14
2359961,1417,1614,138.73
2359962,1417,1615,156.27
2359963,1417,1616,175.42
2359964,1417,1617,177.03
2359965,1417,1618,181.86
2359966,1417,1619,185.07
2359967,1417,1620,210.82
2359968,1417,1621,214.04
2359969,1417,1622,243.01
2359970,1417,1623,230.14
2359971,1417,1624,222.09
2359972,1417,1625,220.48
2359973,1417,1626,214.04
2359974,1417,1627,185.07
2359975,1417,1628,175.42
2359976,1417,1629,188.29
2359977,1417,1630,155.3
2359978,1417,1631,162.54
2359979,1417,1632,162.54
2359980,1417,1633,173.81
2359981,1417,1634,152.24
2359982,1417,1635,146.61
2359983,1417,1636,164.15
2359984,1417,1637,178.64
2359985,1417,1638,191.51
2359986,1417,1639,194.73
2359987,1417,1640,194.73
2359988,1417,1641,220.48
2359989,1417,1642,223.7
2359990,1417,1643,468.32
2359991,1417,1644,476.37
2359992,1417,1645,265.54
2359993,1417,1646,254.28
2359994,1417,1647,244.62
2359995,1417,1648,214.04
2359996,1417,1649,199.56
2359997,1417,1650,191.51
2359998,1417,1651,188.29
2359999,1417,1652,177.03
2360000,1417,1653,167.37
2360001,1417,1654,167.37
2360002,1417,1655,173.81
2360003,1417,1656,168.98
2360004,1417,1657,159
2360005,1417,1658,165.76
2360006,1417,1659,165.76
2360007,1417,1660,178.64
2360008,1417,1661,199.56
2360009,1417,1662,247.84
2360010,1417,1663,234.96
2360011,1417,1664,233.35
2360012,1417,1665,234.96
2360013,1417,1666,458.66
2360014,1417,1667,466.71
2360015,1417,1668,465.1
2360016,1417,1669,461.88
2360017,1417,1670,251.06
2360018,1417,1671,241.4
2360019,1417,1672,230.14
2360020,1417,1673,218.87
2360021,1417,1674,209.21
2360022,1417,1675,193.12
2360023,1417,1676,185.07
2360024,1417,1677,188.29
2360025,1417,1678,188.29
2360026,1417,1679,186.68
2360027,1417,1680,194.73
2360028,1417,1681,172.2
2360029,1417,1682,172.2
2360030,1417,1683,177.03
2360031,1417,1684,188.29
2360032,1417,1685,201.17
2360033,1417,1686,252.67
2360034,1417,1687,247.84
2360035,1417,1688,244.62
2360036,1417,1689,244.62
2360037,1417,1690,440.96
2360038,1417,1691,455.44
2360039,1417,1692,450.62
2360040,1417,1693,255.89
2360041,1417,1694,246.23
2360042,1417,1695,239.79
2360043,1417,1696,225.31
2360044,1417,1697,212.43
2360045,1417,1698,196.34
2360046,1417,1699,199.56
2360047,1417,1700,199.56
2360048,1417,1701,193.12
2360049,1417,1702,215.65
2360050,1417,1703,206
2360051,1417,1704,185.07
2360052,1417,1705,186.68
2360053,1417,1706,191.51
2360054,1417,1707,193.12
2360055,1417,1708,206
2360056,1417,1709,215.65
2360057,1417,1710,262.32
2360058,1417,1711,257.5
2360059,1417,1712,495.68
2360060,1417,1713,487.63
2360061,1417,1714,437.74
2360062,1417,1715,437.74
2360063,1417,1716,431.3
2360064,1417,1717,289.68
2360065,1417,1718,275.2
2360066,1417,1719,268.76
2360067,1417,1720,254.28
2360068,1417,1721,230.14
2360069,1417,1722,215.65
2360070,1417,1723,210.82
2360071,1417,1724,209.21
2360072,1417,1725,207.61
2360073,1417,1726,204.39
2360074,1417,1727,214.04
2360075,1417,1728,212.43
2360076,1417,1729,197.95
2360077,1417,1730,199.56
2360078,1417,1731,206
2360079,1417,1732,206
2360080,1417,1733,209.21
2360081,1417,1734,218.87
2360082,1417,1735,265.54
2360083,1417,1736,494.07
2360084,1417,1737,482.8
2360085,1417,1738,476.37
2360086,1417,1739,502.12
2360087,1417,1740,426.48
2360088,1417,1741,418.43
2360089,1417,1742,418.43
2360090,1417,1743,297.73
2360091,1417,1744,280.03
2360092,1417,1745,270.37
2360093,1417,1746,260.71
2360094,1417,1747,244.62
2360095,1417,1748,233.35
2360096,1417,1749,225.31
2360097,1417,1750,223.7
2360098,1417,1751,222.09
2360099,1417,1752,218.87
2360100,1417,1753,222.09
2360101,1417,1754,225.31
2360102,1417,1755,220.48
2360103,1417,1756,215.65
2360104,1417,1757,214.04
2360105,1417,1758,220.48
2360106,1417,1759,225.31
2360107,1417,1760,222.09
2360108,1417,1761,230.14
2360109,1417,1762,477.98
2360110,1417,1763,469.93
2360111,1417,1764,450.62
2360112,1417,1765,469.93
2360113,1417,1766,415.21
2360114,1417,1767,408.77
2360115,1417,1768,381.41
2360116,1417,1769,384.63
2360117,1417,1770,289.68
2360118,1417,1771,267.15
2360119,1417,1772,255.89
2360120,1417,1773,244.62
2360121,1417,1774,236.57
2360122,1417,1775,233.35
2360123,1417,1776,247.84
2360124,1417,1777,233.35
2360125,1417,1778,231.75
2360126,1417,1779,236.57
2360127,1417,1780,236.57
2360128,1417,1781,225.31
2360129,1417,1782,226.92
2360130,1417,1783,238.18
2360131,1417,1784,238.18
2360132,1417,1785,234.96
2360133,1417,1786,236.57
2360134,1417,1787,486.02
2360135,1417,1788,463.49
2360136,1417,1789,477.98
2360137,1417,1790,397.51
2360138,1417,1791,392.68
2360139,1417,1792,381.41
2360140,1417,1793,373.37
2360141,1417,1794,371.76
2360142,1417,1795,280.03
2360143,1417,1796,270.37
2360144,1417,1797,267.15
2360145,1417,1798,254.28
2360146,1417,1799,244.62
2360147,1417,1800,246.23
2360148,1417,1801,260.71
2360149,1417,1802,263.93
2360150,1417,1803,270.37
2360151,1417,1804,278.42
2360152,1417,1805,259.1
2360153,1417,1806,254.28
2360154,1417,1807,263.93
2360155,1417,1808,273.59
2360156,1417,1809,286.46
2360157,1417,1810,244.62
2360158,1417,1811,-999
2360159,1417,1812,-999
2360160,1417,1813,397.51
2360161,1417,1814,383.02
2360162,1417,1815,360.49
2360163,1417,1816,370.15
2360164,1417,1817,357.27
2360165,1417,1818,308.99
2360166,1417,1819,281.64
2360167,1417,1820,286.46
2360168,1417,1821,270.37
2360169,1417,1822,265.54
2360170,1417,1823,268.76
2360171,1417,1824,260.71
2360172,1417,1825,270.37
2360173,1417,1826,280.03
2360174,1417,1827,292.9
2360175,1417,1828,302.56
2360176,1417,1829,278.42
2360177,1417,1830,458.66
2360178,1417,1831,-999
2360179,1417,1832,389.46
2360180,1417,1833,387.85
2360181,1417,1834,362.1
2360182,1417,1835,347.62
2360183,1417,1836,347.62
2360184,1417,1837,302.56
2360185,1417,1838,291.29
2360186,1417,1839,288.07
2360187,1417,1840,294.51
2360188,1417,1841,284.85
2360189,1417,1842,271.98
2360190,1417,1843,271.98
2360191,1417,1844,275.2
2360192,1417,1845,288.07
2360193,1417,1846,300.95
2360194,1417,1847,305.78
2360195,1417,1848,424.87
2360196,1417,1849,397.51
2360197,1417,1850,365.32
2360198,1417,1851,347.62
2360199,1417,1852,346.01
2360200,1417,1853,312.21
2360201,1417,1854,320.26
2360202,1417,1855,308.99
2360203,1417,1856,299.34
2360204,1417,1857,288.07
2360205,1417,1858,281.64
2360206,1417,1859,288.07
2360207,1417,1860,299.34
2360208,1417,1861,297.73
2360209,1417,1862,302.56
2360210,1417,1863,325.09
2360211,1417,1864,325.09
2360212,1417,1865,331.52
2360213,1417,1866,344.4
2360214,1417,1867,577.75
2360215,1417,1868,415.21
2360216,1417,1869,397.51
2360217,1417,1870,360.49
2360218,1417,1871,349.23
2360219,1417,1872,323.48
2360220,1417,1873,312.21
2360221,1417,1874,326.7
2360222,1417,1875,302.56
2360223,1417,1876,312.21
2360224,1417,1877,310.6
2360225,1417,1878,292.9
2360226,1417,1879,299.34
2360227,1417,1880,313.82
2360228,1417,1881,326.7
2360229,1417,1882,318.65
2360230,1417,1883,323.48
2360231,1417,1884,342.79
2360232,1417,1885,352.45
2360233,1417,1886,-999
2360234,1417,1887,579.36
2360235,1417,1888,564.88
