id,from,to,distance
1949401,1056,1872,518.21
1949402,1056,1873,506.94
1949403,1056,1874,521.43
1949404,1056,1875,497.29
1949405,1056,1876,506.94
1949406,1056,1877,505.33
1949407,1056,1878,487.63
1949408,1056,1879,494.07
1949409,1056,1880,508.55
1949410,1056,1881,521.43
1949411,1056,1882,513.38
1949412,1056,1883,518.21
1949413,1056,1884,535.91
1949414,1056,1885,547.18
1949415,1056,1886,-999
1949416,1056,1887,774.09
1949417,1056,1888,759.61
1949418,1056,1889,756.39
1949419,1056,1890,738.69
1949420,1056,1891,593.85
1949421,1056,1892,576.15
1949422,1056,1893,577.75
1949423,1056,1894,553.61
1949424,1056,1895,542.35
1949425,1056,1896,519.82
1949426,1056,1897,527.86
1949427,1056,1898,510.16
1949428,1056,1899,511.77
1949429,1056,1900,502.12
1949430,1056,1901,498.9
1949431,1056,1902,511.77
1949432,1056,1903,510.16
1949433,1056,1904,518.21
1949434,1056,1905,531.08
1949435,1056,1906,535.91
1949436,1056,1907,703.28
1949437,1056,1908,-999
1949438,1056,1909,740.3
1949439,1056,1910,732.25
1949440,1056,1911,737.08
1949441,1056,1912,587.41
1949442,1056,1913,572.93
1949443,1056,1914,584.19
1949444,1056,1915,545.57
1949445,1056,1916,539.13
1949446,1056,1917,534.3
1949447,1056,1918,523.04
1949448,1056,1919,527.86
1949449,1056,1920,526.26
1949450,1056,1921,519.82
1949451,1056,1922,523.04
1949452,1056,1923,524.65
1949453,1056,1924,527.86
1949454,1056,1925,542.35
1949455,1056,1926,545.57
1949456,1056,1927,555.22
1949457,1056,1928,566.49
1949458,1056,1929,701.67
1949459,1056,1930,688.8
1949460,1056,1931,751.56
1949461,1056,1932,741.91
1949462,1056,1933,725.81
1949463,1056,1934,709.72
1949464,1056,1935,-999
1949465,1056,1936,598.68
1949466,1056,1937,605.11
1949467,1056,1938,579.36
1949468,1056,1939,548.79
1949469,1056,1940,550.4
1949470,1056,1941,556.83
1949471,1056,1942,543.96
1949472,1056,1943,553.61
1949473,1056,1944,534.3
1949474,1056,1945,531.08
1949475,1056,1946,532.69
1949476,1056,1947,537.52
1949477,1056,1948,540.74
1949478,1056,1949,547.18
1949479,1056,1950,563.27
1949480,1056,1951,564.88
1949481,1056,1952,572.93
1949482,1056,1953,579.36
1949483,1056,1954,674.32
1949484,1056,1955,753.17
1949485,1056,1956,748.34
1949486,1056,1957,725.81
1949487,1056,1958,711.33
1949488,1056,1959,692.02
1949489,1056,1960,682.36
1949490,1056,1961,598.68
1949491,1056,1962,574.54
1949492,1056,1963,561.66
1949493,1056,1964,572.93
1949494,1056,1965,616.38
1949495,1056,1966,555.22
1949496,1056,1967,563.27
1949497,1056,1968,550.4
1949498,1056,1969,561.66
1949499,1056,1970,555.22
1949500,1056,1971,556.83
1949501,1056,1972,552
1949502,1056,1973,555.22
1949503,1056,1974,561.66
1949504,1056,1975,572.93
1949505,1056,1976,580.97
1949506,1056,1977,589.02
1949507,1056,1978,675.92
1949508,1056,1979,717.77
1949509,1056,1980,703.28
1949510,1056,1981,682.36
1949511,1056,1982,687.19
1949512,1056,1983,687.19
1949513,1056,1984,666.27
1949514,1056,1985,593.85
1949515,1056,1986,597.07
1949516,1056,1987,601.89
1949517,1056,1988,659.83
1949518,1056,1989,616.38
1949519,1056,1990,614.77
1949520,1056,1991,587.41
1949521,1056,1992,577.75
1949522,1056,1993,564.88
1949523,1056,1994,566.49
1949524,1056,1995,564.88
1949525,1056,1996,564.88
1949526,1056,1997,568.1
1949527,1056,1998,589.02
1949528,1056,1999,589.02
1949529,1056,2000,590.63
1949530,1056,2001,597.07
1949531,1056,2002,609.94
1949532,1056,2003,-999
1949533,1056,2004,674.32
1949534,1056,2005,638.91
1949535,1056,2006,630.86
1949536,1056,2007,637.3
1949537,1056,2008,611.55
1949538,1056,2009,667.88
1949539,1056,2010,651.78
1949540,1056,2011,622.82
1949541,1056,2012,613.16
1949542,1056,2013,589.02
1949543,1056,2014,582.58
1949544,1056,2015,574.54
1949545,1056,2016,577.75
1949546,1056,2017,576.15
1949547,1056,2018,576.15
1949548,1056,2019,603.5
1949549,1056,2020,597.07
1949550,1056,2021,601.89
1949551,1056,2022,616.38
1949552,1056,2023,605.11
1949553,1056,2024,609.94
1949554,1056,2025,622.82
1949555,1056,2026,703.28
1949556,1056,2027,664.66
1949557,1056,2028,650.17
1949558,1056,2029,637.3
1949559,1056,2030,638.91
1949560,1056,2031,624.43
1949561,1056,2032,619.6
1949562,1056,2033,666.27
1949563,1056,2034,646.96
1949564,1056,2035,632.47
1949565,1056,2036,626.03
1949566,1056,2037,601.89
1949567,1056,2038,643.74
1949568,1056,2039,653.39
1949569,1056,2040,616.38
1949570,1056,2041,605.11
1949571,1056,2042,585.8
1949572,1056,2043,621.21
1949573,1056,2044,632.47
1949574,1056,2045,619.6
1949575,1056,2046,624.43
1949576,1056,2047,619.6
1949577,1056,2048,626.03
1949578,1056,2049,626.03
1949579,1056,2050,711.33
1949580,1056,2051,683.97
1949581,1056,2052,-999
1949582,1056,2053,653.39
1949583,1056,2054,642.13
1949584,1056,2055,701.67
1949585,1056,2056,685.58
1949586,1056,2057,669.49
1949587,1056,2058,630.86
1949588,1056,2059,621.21
1949589,1056,2060,616.38
1949590,1056,2061,634.08
1949591,1056,2062,643.74
1949592,1056,2063,653.39
1949593,1056,2064,-999
1949594,1056,2065,601.89
1949595,1056,2066,605.11
1949596,1056,2067,617.99
1949597,1056,2068,650.17
1949598,1056,2069,637.3
1949599,1056,2070,630.86
1949600,1056,2071,645.35
1949601,1056,2072,637.3
1949602,1056,2073,725.81
1949603,1056,2074,714.55
1949604,1056,2075,806.28
1949605,1056,2076,795.02
1949606,1056,2077,-999
1949607,1056,2078,-999
1949608,1056,2079,722.6
1949609,1056,2080,712.94
1949610,1056,2081,730.64
1949611,1056,2082,690.41
1949612,1056,2083,688.8
1949613,1056,2084,701.67
1949614,1056,2085,727.42
1949615,1056,2086,624.43
1949616,1056,2087,627.64
1949617,1056,2088,635.69
1949618,1056,2089,648.57
1949619,1056,2090,651.78
1949620,1056,2091,642.13
1949621,1056,2092,634.08
1949622,1056,2093,621.21
1949623,1056,2094,653.39
1949624,1056,2095,645.35
1949625,1056,2096,643.74
1949626,1056,2097,659.83
1949627,1056,2098,650.17
1949628,1056,2099,651.78
1949629,1056,2100,-999
1949630,1056,2101,796.63
1949631,1056,2102,782.14
1949632,1056,2103,761.22
1949633,1056,2104,732.25
1949634,1056,2105,719.38
1949635,1056,2106,712.94
1949636,1056,2107,712.94
1949637,1056,2108,712.94
1949638,1056,2109,717.77
1949639,1056,2110,716.16
1949640,1056,2111,687.19
1949641,1056,2112,680.75
1949642,1056,2113,656.61
1949643,1056,2114,651.78
1949644,1056,2115,667.88
1949645,1056,2116,690.41
1949646,1056,2117,634.08
1949647,1056,2118,635.69
1949648,1056,2119,666.27
1949649,1056,2120,656.61
1949650,1056,2121,658.22
1949651,1056,2122,669.49
1949652,1056,2123,664.66
1949653,1056,2124,664.66
1949654,1056,2125,820.77
1949655,1056,2126,819.16
1949656,1056,2127,788.58
1949657,1056,2128,777.31
1949658,1056,2129,764.44
1949659,1056,2130,753.17
1949660,1056,2131,746.74
1949661,1056,2132,769.27
1949662,1056,2133,756.39
1949663,1056,2134,745.13
1949664,1056,2135,743.52
1949665,1056,2136,719.38
1949666,1056,2137,708.11
1949667,1056,2138,692.02
1949668,1056,2139,669.49
1949669,1056,2140,658.22
1949670,1056,2141,658.22
1949671,1056,2142,666.27
1949672,1056,2143,688.8
1949673,1056,2144,701.67
1949674,1056,2145,688.8
1949675,1056,2146,677.53
1949676,1056,2147,667.88
1949677,1056,2148,671.1
1949678,1056,2149,677.53
1949679,1056,2150,674.32
1949680,1056,2151,672.71
1949681,1056,2152,819.16
1949682,1056,2153,806.28
1949683,1056,2154,804.67
1949684,1056,2155,764.44
1949685,1056,2156,764.44
1949686,1056,2157,791.8
1949687,1056,2158,-999
1949688,1056,2159,753.17
1949689,1056,2160,748.34
1949690,1056,2161,733.86
1949691,1056,2162,716.16
1949692,1056,2163,708.11
1949693,1056,2164,688.8
1949694,1056,2165,672.71
1949695,1056,2166,671.1
1949696,1056,2167,666.27
1949697,1056,2168,672.71
1949698,1056,2169,680.75
1949699,1056,2170,703.28
1949700,1056,2171,712.94
1949701,1056,2172,690.41
1949702,1056,2173,682.36
1949703,1056,2174,696.85
1949704,1056,2175,690.41
1949705,1056,2176,687.19
1949706,1056,2177,685.58
1949707,1056,2178,688.8
1949708,1056,2179,854.56
1949709,1056,2180,838.47
1949710,1056,2181,835.25
1949711,1056,2182,819.16
1949712,1056,2183,814.33
1949713,1056,2184,809.5
1949714,1056,2185,799.84
1949715,1056,2186,778.92
1949716,1056,2187,774.09
1949717,1056,2188,-999
1949718,1056,2189,-999
1949719,1056,2190,730.64
1949720,1056,2191,730.64
1949721,1056,2192,703.28
1949722,1056,2193,692.02
1949723,1056,2194,685.58
1949724,1056,2195,693.63
1949725,1056,2196,682.36
1949726,1056,2197,688.8
1949727,1056,2198,700.06
1949728,1056,2199,701.67
1949729,1056,2200,714.55
1949730,1056,2201,717.77
1949731,1056,2202,712.94
1949732,1056,2203,703.28
1949733,1056,2204,701.67
1949734,1056,2205,701.67
1949735,1056,2206,696.85
1949736,1056,2207,698.46
1949737,1056,2208,851.34
1949738,1056,2209,846.51
1949739,1056,2210,835.25
1949740,1056,2211,828.81
1949741,1056,2212,804.67
1949742,1056,2213,790.19
1949743,1056,2214,777.31
1949744,1056,2215,777.31
1949745,1056,2216,754.78
1949746,1056,2217,738.69
1949747,1056,2218,729.03
1949748,1056,2219,719.38
1949749,1056,2220,706.5
1949750,1056,2221,701.67
1949751,1056,2222,708.11
1949752,1056,2223,690.41
1949753,1056,2224,696.85
1949754,1056,2225,711.33
1949755,1056,2226,720.99
1949756,1056,2227,719.38
1949757,1056,2228,725.81
1949758,1056,2229,724.2
1949759,1056,2230,716.16
1949760,1056,2231,711.33
1949761,1056,2232,711.33
1949762,1056,2233,708.11
1949763,1056,2234,712.94
1949764,1056,2235,857.78
1949765,1056,2236,848.12
1949766,1056,2237,809.5
1949767,1056,2238,-999
1949768,1056,2239,775.7
1949769,1056,2240,769.27
1949770,1056,2241,-999
1949771,1056,2242,745.13
1949772,1056,2243,732.25
1949773,1056,2244,733.86
1949774,1056,2245,719.38
1949775,1056,2246,714.55
1949776,1056,2247,719.38
1949777,1056,2248,703.28
1949778,1056,2249,711.33
1949779,1056,2250,725.81
1949780,1056,2251,727.42
1949781,1056,2252,732.25
1949782,1056,2253,732.25
1949783,1056,2254,727.42
1949784,1056,2255,725.81
1949785,1056,2256,722.6
1949786,1056,2257,719.38
1949787,1056,2258,719.38
1949788,1056,2259,854.56
1949789,1056,2260,801.45
1949790,1056,2261,796.63
1949791,1056,2262,820.77
1949792,1056,2263,-999
1949793,1056,2264,764.44
1949794,1056,2265,753.17
1949795,1056,2266,743.52
1949796,1056,2267,729.03
1949797,1056,2268,743.52
1949798,1056,2269,724.2
1949799,1056,2270,732.25
1949800,1056,2271,743.52
1949801,1056,2272,812.72
1949802,1056,2273,812.72
1949803,1056,2274,806.28
1949804,1056,2275,782.14
1949805,1056,2276,767.66
1949806,1056,2277,769.27
1949807,1056,2278,754.78
1949808,1056,2279,748.34
1949809,1056,2280,738.69
1949810,1056,2281,737.08
1949811,1056,2282,745.13
1949812,1056,2283,746.74
1949813,1056,2284,811.11
1949814,1056,2285,793.41
1949815,1056,2286,791.8
1949816,1056,2287,780.53
1949817,1056,2288,782.14
1949818,1056,2289,777.31
1949819,1056,2290,764.44
1949820,1056,2291,754.78
1949821,1056,2292,751.56
1949822,1056,2293,759.61
1949823,1056,2294,798.23
1949824,1056,2295,819.16
1949825,1056,2296,793.41
1949826,1056,2297,790.19
1949827,1056,2298,782.14
1949828,1056,2299,770.88
1949829,1056,2300,767.66
1949830,1056,2301,778.92
1949831,1056,2302,777.31
1949832,1056,2303,778.92
1949833,1056,2304,811.11
1949834,1056,2305,-999
1949835,1056,2306,807.89
1949836,1056,2307,791.8
1949837,1056,2308,780.53
1949838,1056,2309,775.7
1949839,1056,2310,777.31
1949840,1056,2311,785.36
1949841,1056,2312,791.8
1949842,1056,2313,790.19
1949843,1056,2314,838.47
1949844,1056,2315,827.2
1949845,1056,2316,817.55
1949846,1056,2317,796.63
1949847,1056,2318,790.19
1949848,1056,2319,786.97
1949849,1056,2320,840.08
1949850,1056,2321,-999
1949851,1056,2322,809.5
1949852,1056,2323,806.28
1949853,1056,2324,819.16
1949854,1056,2325,849.73
1949855,1056,2326,835.25
1949856,1056,2327,835.25
1949857,1056,2328,806.28
1949858,1056,2329,807.89
1949859,1056,2330,799.84
1949860,1056,2331,807.89
1949861,1056,2332,823.98
1949862,1056,2333,815.94
1949863,1056,2334,843.3
1949864,1056,2335,833.64
1949865,1056,2336,825.59
1949866,1056,2337,832.03
1949867,1056,2338,835.25
1949868,1056,2339,820.77
1949869,1056,2340,820.77
1949870,1056,2341,815.94
1949871,1056,2342,840.08
1949872,1056,2343,809.5
1949873,1056,2344,819.16
1949874,1056,2345,841.69
1949875,1056,2346,838.47
1949876,1056,2347,862.61
1949877,1056,2348,856.17
1949878,1056,2349,843.3
1949879,1056,2350,846.51
1949880,1056,2351,833.64
1949881,1056,2352,843.3
1949882,1056,2353,849.73
1949883,1056,2354,833.64
1949884,1056,2355,838.47
1949885,1056,2356,873.87
1949886,1056,2357,861
1949887,1056,2358,875.48
1949888,1056,2359,865.83
1949889,1056,2360,849.73
1949890,1056,2361,854.56
1949891,1056,2362,857.78
1949892,1056,2363,-999
1949893,1056,2364,-999
1949894,1056,2365,838.47
1949895,1056,2366,835.25
1949896,1056,2367,843.3
1949897,1056,2368,851.34
1949898,1056,2369,852.95
1949899,1056,2370,867.44
1949900,1056,2371,859.39
1949901,1056,2372,862.61
1949902,1056,2373,870.66
1949903,1056,2374,877.09
1949904,1056,2375,878.7
1949905,1057,1058,14.65
1949906,1057,1059,32.51
1949907,1057,1060,43.77
1949908,1057,1061,51.66
1949909,1057,1062,68.56
1949910,1057,1063,80.15
1949911,1057,1064,90.61
1949912,1057,1065,107.83
1949913,1057,1066,116.84
1949914,1057,1067,128.43
1949915,1057,1068,137.76
1949916,1057,1069,202.78
1949917,1057,1070,206
1949918,1057,1071,218.87
1949919,1057,1072,225.31
1949920,1057,1073,233.35
1949921,1057,1074,233.35
1949922,1057,1075,238.18
1949923,1057,1076,233.35
1949924,1057,1077,215.65
1949925,1057,1078,178.64
1949926,1057,1079,188.29
1949927,1057,1080,160.45
1949928,1057,1081,142.91
1949929,1057,1082,132.45
1949930,1057,1083,118.61
1949931,1057,1084,106.7
1949932,1057,1085,95.6
1949933,1057,1086,85.3
1949934,1057,1087,75.48
1949935,1057,1088,67.91
1949936,1057,1089,40.72
1949937,1057,1090,31.54
1949938,1057,1091,18.51
1949939,1057,1092,15.61
1949940,1057,1093,23.01
1949941,1057,1094,39.75
1949942,1057,1095,53.43
1949943,1057,1096,67.91
1949944,1057,1097,73.39
1949945,1057,1098,82.88
1949946,1057,1099,93.99
1949947,1057,1100,107.67
1949948,1057,1101,120.7
1949949,1057,1102,140.33
1949950,1057,1103,146.77
1949951,1057,1104,239.79
