id,from,to,distance
2079076,1158,2262,799.84
2079077,1158,2263,-999
2079078,1158,2264,743.52
2079079,1158,2265,732.25
2079080,1158,2266,722.6
2079081,1158,2267,708.11
2079082,1158,2268,722.6
2079083,1158,2269,703.28
2079084,1158,2270,711.33
2079085,1158,2271,722.6
2079086,1158,2272,791.8
2079087,1158,2273,791.8
2079088,1158,2274,783.75
2079089,1158,2275,761.22
2079090,1158,2276,746.74
2079091,1158,2277,748.34
2079092,1158,2278,733.86
2079093,1158,2279,727.42
2079094,1158,2280,716.16
2079095,1158,2281,714.55
2079096,1158,2282,724.2
2079097,1158,2283,725.81
2079098,1158,2284,790.19
2079099,1158,2285,772.49
2079100,1158,2286,770.88
2079101,1158,2287,759.61
2079102,1158,2288,761.22
2079103,1158,2289,756.39
2079104,1158,2290,743.52
2079105,1158,2291,733.86
2079106,1158,2292,730.64
2079107,1158,2293,738.69
2079108,1158,2294,777.31
2079109,1158,2295,798.23
2079110,1158,2296,772.49
2079111,1158,2297,769.27
2079112,1158,2298,761.22
2079113,1158,2299,749.95
2079114,1158,2300,746.74
2079115,1158,2301,758
2079116,1158,2302,756.39
2079117,1158,2303,758
2079118,1158,2304,790.19
2079119,1158,2305,-999
2079120,1158,2306,786.97
2079121,1158,2307,770.88
2079122,1158,2308,759.61
2079123,1158,2309,753.17
2079124,1158,2310,756.39
2079125,1158,2311,764.44
2079126,1158,2312,770.88
2079127,1158,2313,769.27
2079128,1158,2314,817.55
2079129,1158,2315,806.28
2079130,1158,2316,796.63
2079131,1158,2317,775.7
2079132,1158,2318,769.27
2079133,1158,2319,766.05
2079134,1158,2320,819.16
2079135,1158,2321,-999
2079136,1158,2322,788.58
2079137,1158,2323,785.36
2079138,1158,2324,798.23
2079139,1158,2325,828.81
2079140,1158,2326,814.33
2079141,1158,2327,814.33
2079142,1158,2328,785.36
2079143,1158,2329,786.97
2079144,1158,2330,778.92
2079145,1158,2331,786.97
2079146,1158,2332,803.06
2079147,1158,2333,795.02
2079148,1158,2334,822.37
2079149,1158,2335,812.72
2079150,1158,2336,804.67
2079151,1158,2337,811.11
2079152,1158,2338,814.33
2079153,1158,2339,799.84
2079154,1158,2340,799.84
2079155,1158,2341,795.02
2079156,1158,2342,819.16
2079157,1158,2343,788.58
2079158,1158,2344,798.23
2079159,1158,2345,820.77
2079160,1158,2346,817.55
2079161,1158,2347,841.69
2079162,1158,2348,835.25
2079163,1158,2349,822.37
2079164,1158,2350,825.59
2079165,1158,2351,812.72
2079166,1158,2352,822.37
2079167,1158,2353,828.81
2079168,1158,2354,812.72
2079169,1158,2355,817.55
2079170,1158,2356,852.95
2079171,1158,2357,840.08
2079172,1158,2358,854.56
2079173,1158,2359,844.91
2079174,1158,2360,828.81
2079175,1158,2361,833.64
2079176,1158,2362,836.86
2079177,1158,2363,-999
2079178,1158,2364,-999
2079179,1158,2365,817.55
2079180,1158,2366,814.33
2079181,1158,2367,822.37
2079182,1158,2368,830.42
2079183,1158,2369,832.03
2079184,1158,2370,846.51
2079185,1158,2371,838.47
2079186,1158,2372,841.69
2079187,1158,2373,848.12
2079188,1158,2374,856.17
2079189,1158,2375,857.78
2079190,1159,1160,14.65
2079191,1159,1161,26.07
2079192,1159,1162,36.85
2079193,1159,1163,46.03
2079194,1159,1164,57.61
2079195,1159,1165,68.24
2079196,1159,1166,82.4
2079197,1159,1167,90.77
2079198,1159,1168,102.52
2079199,1159,1169,113.78
2079200,1159,1170,125.53
2079201,1159,1171,283.24
2079202,1159,1172,275.2
2079203,1159,1173,263.93
2079204,1159,1174,170.59
2079205,1159,1175,143.23
2079206,1159,1176,167.37
2079207,1159,1177,117.48
2079208,1159,1178,109.44
2079209,1159,1179,73.23
2079210,1159,1180,61.64
2079211,1159,1181,53.27
2079212,1159,1182,42.33
2079213,1159,1183,32.03
2079214,1159,1184,17.54
2079215,1159,1185,16.42
2079216,1159,1186,22.69
2079217,1159,1187,29.45
2079218,1159,1188,37.01
2079219,1159,1189,53.11
2079220,1159,1190,67.43
2079221,1159,1191,75.32
2079222,1159,1192,87.39
2079223,1159,1193,96.08
2079224,1159,1194,105.41
2079225,1159,1195,118.13
2079226,1159,1196,291.29
2079227,1159,1197,273.59
2079228,1159,1198,183.47
2079229,1159,1199,178.64
2079230,1159,1200,138.24
2079231,1159,1201,153.69
2079232,1159,1202,107.99
2079233,1159,1203,89.16
2079234,1159,1204,78.54
2079235,1159,1205,72.74
2079236,1159,1206,53.27
2079237,1159,1207,47.48
2079238,1159,1208,33.47
2079239,1159,1209,26.55
2079240,1159,1210,28.32
2079241,1159,1211,41.52
2079242,1159,1212,46.03
2079243,1159,1213,55.68
2079244,1159,1214,91.25
2079245,1159,1215,100.42
2079246,1159,1216,111.69
2079247,1159,1217,121.99
2079248,1159,1218,131.16
2079249,1159,1219,142.91
2079250,1159,1220,162.54
2079251,1159,1221,150.63
2079252,1159,1222,143.71
2079253,1159,1223,146.93
2079254,1159,1224,134.38
2079255,1159,1225,127.94
2079256,1159,1226,83.2
2079257,1159,1227,71.13
2079258,1159,1228,58.1
2079259,1159,1229,50.37
2079260,1159,1230,41.36
2079261,1159,1231,46.03
2079262,1159,1232,40.39
2079263,1159,1233,42
2079264,1159,1234,61.16
2079265,1159,1235,74.19
2079266,1159,1236,81.92
2079267,1159,1237,91.41
2079268,1159,1238,106.54
2079269,1159,1239,116.52
2079270,1159,1240,121.83
2079271,1159,1241,165.76
2079272,1159,1242,177.03
2079273,1159,1243,167.37
2079274,1159,1244,154.98
2079275,1159,1245,141.94
2079276,1159,1246,125.69
2079277,1159,1247,120.22
2079278,1159,1248,101.55
2079279,1159,1249,67.27
2079280,1159,1250,55.52
2079281,1159,1251,61.96
2079282,1159,1252,51.34
2079283,1159,1253,52.3
2079284,1159,1254,56.33
2079285,1159,1255,77.73
2079286,1159,1256,71.62
2079287,1159,1257,82.24
2079288,1159,1258,94.79
2079289,1159,1259,101.07
2079290,1159,1260,206
2079291,1159,1261,181.86
2079292,1159,1262,168.98
2079293,1159,1263,159.97
2079294,1159,1264,151.76
2079295,1159,1265,152.73
2079296,1159,1266,117.96
2079297,1159,1267,103.96
2079298,1159,1268,86.26
2079299,1159,1269,68.24
2079300,1159,1270,71.29
2079301,1159,1271,61.96
2079302,1159,1272,66.95
2079303,1159,1273,64.86
2079304,1159,1274,67.75
2079305,1159,1275,83.04
2079306,1159,1276,105.89
2079307,1159,1277,115.87
2079308,1159,1278,123.44
2079309,1159,1279,135.51
