id,from,to,distance
1747051,911,1217,154.66
1747052,911,1218,157.23
1747053,911,1219,158.2
1747054,911,1220,363.71
1747055,911,1221,352.45
1747056,911,1222,344.4
1747057,911,1223,321.87
1747058,911,1224,308.99
1747059,911,1225,302.56
1747060,911,1226,294.51
1747061,911,1227,263.93
1747062,911,1228,249.45
1747063,911,1229,243.01
1747064,911,1230,222.09
1747065,911,1231,210.82
1747066,911,1232,206
1747067,911,1233,207.61
1747068,911,1234,202.78
1747069,911,1235,183.47
1747070,911,1236,177.03
1747071,911,1237,172.2
1747072,911,1238,167.37
1747073,911,1239,167.37
1747074,911,1240,172.2
1747075,911,1241,368.54
1747076,911,1242,352.45
1747077,911,1243,341.18
1747078,911,1244,329.92
1747079,911,1245,315.43
1747080,911,1246,299.34
1747081,911,1247,294.51
1747082,911,1248,275.2
1747083,911,1249,259.1
1747084,911,1250,247.84
1747085,911,1251,228.53
1747086,911,1252,217.26
1747087,911,1253,217.26
1747088,911,1254,222.09
1747089,911,1255,207.61
1747090,911,1256,199.56
1747091,911,1257,185.07
1747092,911,1258,181.86
1747093,911,1259,177.03
1747094,911,1260,379.81
1747095,911,1261,355.67
1747096,911,1262,342.79
1747097,911,1263,334.74
1747098,911,1264,326.7
1747099,911,1265,326.7
1747100,911,1266,291.29
1747101,911,1267,278.42
1747102,911,1268,260.71
1747103,911,1269,249.45
1747104,911,1270,238.18
1747105,911,1271,226.92
1747106,911,1272,231.75
1747107,911,1273,230.14
1747108,911,1274,233.35
1747109,911,1275,220.48
1747110,911,1276,204.39
1747111,911,1277,214.04
1747112,911,1278,222.09
1747113,911,1279,233.35
1747114,911,1280,371.76
1747115,911,1281,366.93
1747116,911,1282,352.45
1747117,911,1283,347.62
1747118,911,1284,334.74
1747119,911,1285,341.18
1747120,911,1286,296.12
1747121,911,1287,275.2
1747122,911,1288,265.54
1747123,911,1289,255.89
1747124,911,1290,244.62
1747125,911,1291,239.79
1747126,911,1292,241.4
1747127,911,1293,247.84
1747128,911,1294,243.01
1747129,911,1295,249.45
1747130,911,1296,206
1747131,911,1297,210.82
1747132,911,1298,214.04
1747133,911,1299,223.7
1747134,911,1300,379.81
1747135,911,1301,370.15
1747136,911,1302,368.54
1747137,911,1303,354.06
1747138,911,1304,347.62
1747139,911,1305,313.82
1747140,911,1306,292.9
