207,174.94,90.21,15.07
208,195.8,81.16,16.81
209,211.57,93.37,15.32
210,210.81,127.95,10.78
211,201.45,100.79,19.62
212,226.1,62.27,23.84
213,221.11,43.62,13.88
214,303.95,34.78,13.81
215,255.91,65.23,11.25
216,284.88,55.12,20.8
217,291.66,53.1,18.67
218,233.12,50.01,19.58
219,170.58,47.85,28.08
220,8.89,4,3.48
221,3.59,54.43,5.14
222,2.48,50.08,4.84
223,2.09,8.28,1.84
224,10.59,44.21,5.98
225,39.22,49.4,12.53
226,104,94.38,16.89
227,115.82,96.27,32.15
228,151.01,99.98,22.12
229,106.11,129.55,22.12
230,151.59,91.18,22.24
231,158.01,151.4,9.02
232,206,98.19,10.58
233,213.09,56.29,12.43
234,299.65,33.69,14.78
235,273.86,40.61,7.57
236,197.08,43.72,3.35
237,167.32,60.08,18.08
238,213.57,51.83,32.94
239,281.75,48.24,14.41
240,295.31,60.95,17.57
241,63.84,18.49,8.81
242,0.1,0.42,0.19
243,2.49,13.28,1.8
244,1.22,12.79,2.17
245,9.37,51.65,4.94
246,39.33,56.81,6.14
247,61.61,58.89,6.26
248,175.1,95.33,32.22
249,95.14,36.84,15.43
250,43,17.02,5.35
251,163.24,71.96,19.69
252,175.31,124,7.62
253,200.37,141.19,9.71
254,194.26,67.84,39.33
255,236.06,55.3,20.51
256,98.12,11.76,2.17
257,74.85,9.87,0.45
258,69.15,21.79,6.6
259,85.97,28.17,29.51
260,251.12,62.21,13.03
261,235.19,71.99,15.54
262,105.68,40.29,12.7
263,0,0.11,2.26
264,0.08,1.72,0.41
265,4.62,9.21,6.21
266,7.86,58.5,13.31
267,57.8,92.83,14.9
268,183.38,101.77,16.58
269,167.3,59.16,22.24
270,156.68,94.47,18.79
271,153.44,63.85,14.94
272,216.53,70.65,14.83
273,118.3,67.25,18.25
274,181.29,117.43,12.11
275,232.61,69.99,20.26
276,203.52,30.94,19.99
277,233.37,12.52,1.91
278,246.64,23.84,3.64
279,206.78,45.86,27.08
280,242.21,52.94,17.34
281,206.58,73.02,30.99
282,154.93,43.85,19.15
283,68.43,24.46,7.06
284,0.39,4.22,13.06
285,3.79,22.86,49.44
286,2.42,14.82,27.86
287,0.36,3.01,11.37
288,3.52,15.19,41.57
289,2.32,12.05,24.51
290,12.72,17.54,31.9
291,144.86,128.61,26.45
292,174.05,150.65,25.04
293,84.01,192.38,21.06
294,90.29,206.03,20.98
295,103.65,77.27,10.52
296,135.4,45.47,13.02
297,221.82,104.22,12.25
298,271.74,43.52,23.22
299,315.6,23.6,14.38
300,303.76,16.7,1.38
301,151.91,3.79,0.86
302,188.18,38.33,21.99
303,263.59,63.38,21.84
304,247.81,58.83,33.26
305,203.73,33.67,17.92
306,5.52,5.03,1.22
307,0.07,1.72,7.27
308,0.35,4.83,18.71
309,0.08,2.92,20.64
310,0.33,7.68,37.71
311,0.82,5.92,23.58
312,0.78,7.19,32.53
313,0.16,12.57,41.25
314,0.33,12.61,34.26
315,17.35,34.15,35.3
316,101.35,130.25,15.34
317,20.06,104.6,14.49
318,13.44,82.61,14.99
319,60.42,130.27,14.87
320,89.93,47.7,23.22
321,185.33,35.12,13.74
322,294.47,41.23,11.44
323,245.38,26.03,7.66
324,305.39,14.13,2.82
325,101.96,3.58,1.04
326,33.33,6.67,1.72
327,51.48,12.89,4.15
328,28.64,8.68,7.7
329,2.08,1.02,1.36
330,0,0.06,0.01
331,0.25,5.98,2.54
332,0.1,10.12,17.89
333,0.19,19.34,27.18
334,0.12,26.93,15.66
335,0.02,8.66,2.56
336,0.05,2.11,8.1
337,2.74,7.05,11.52
338,28.5,32.03,20.32
339,106.79,100.41,18.01
340,55.12,102.02,16.33
341,0.02,9.41,0.56
342,23.63,38.58,10.65
343,173.25,30.51,28.72
344,223.5,29.02,32.39
345,217.16,41.44,14.34
346,208.76,21.94,21.27
347,270.55,31.69,18.34
348,211.22,37.02,9.15
349,0,0.04,3.74
350,0.01,5.19,20.46
351,0.41,24.65,31.11
352,0.03,9.77,22.58
353,1.24,19.89,31.99
354,6.88,65.57,20.35
355,1.48,20.87,35.89
356,63.15,13.74,10.08
357,107.48,39.21,15.17
